ticker,ofi_R2,ofi_R2_lo,ofi_R2_hi,ofi_slope,qi_auc,qi_auc_lo,qi_auc_hi
AAPL,0.27110727249769573,0.20488115892086473,0.3594875926424238,7.13167692949443e-08,0.5563938062795196,0.5467790053852103,0.5662633180777138
AMZN,0.11044929239567351,0.0757776203347908,0.3073007964952669,5.576327155938513e-08,0.6144822246281175,0.5997042820598675,0.6282474871600751
GOOG,0.24305525994618926,0.17762920963629708,0.3277213509204169,1.7631195271314267e-07,0.577685521194909,0.559743058417483,0.5959034559533598
INTC,0.2865548965001087,0.22071523486560732,0.36216775942041846,5.81831471105966e-09,0.907197844189342,0.8725262356216357,0.9365369116068072
MSFT,0.3558521495419466,0.2891549363352145,0.4256068638304548,5.368297591129333e-09,0.9227860015698914,0.8961806496384106,0.945479616314884
